esb_idx,jakarta_idx,brandName_esb,branchName_esb,latitude_esb,longitude_esb,brandName_jakarta,nama_restoran_jakarta,latitude_jakarta,longitude_jakarta,distance_m,name_similarity,token_overlap,match_confidence,match_reason
33,17270, uduk ci rina,NASI UDUK CI RINA,-6.148,106.83,  uduk ci rina,Warung Nasi Uduk CI Rina,-6.148,106.83,0.0,1.0,1.0,0.95,exact_location_moderate_name
7253,4890,oelek,Warung Oelek Bakar - Semanan (NONAKTIF),-6.164,106.723, oelek bakar semanan,Warung Oelek Bakar Semanan,-6.164,106.723,0.0,0.558,0.333,0.95,exact_location_moderate_name
7173,23602,noru,NORU,-6.215,106.826,noru rooftop lounge ,NORU Rooftop Lounge Jakarta,-6.215,106.826,0.0,0.538,0.333,0.95,exact_location_moderate_name
7168,18279,noodleman,Noodleman - Cempaka Putih,-6.172,106.87,noodleman,NoodleMan,-6.172,106.87,0.0,1.0,1.0,0.95,exact_location_moderate_name
7083,47458,neu neu steak pik,Neu Neu Steak PIK,-6.09,106.745,neu neu taiwanese steak,Neu Neu Taiwanese Steak,-6.09,106.745,0.0,0.395,0.667,0.75,token_overlap_close
7061,50479,naughty olive,Naughty Olive,-6.148,106.896,naughty olive,Naughty Olive,-6.148,106.896,0.0,1.0,1.0,0.95,exact_location_moderate_name
7048,47562,native,Native Tribe PIK East Coast,-6.092,106.747,native tribe east coast,Native Tribe East Coast,-6.092,106.747,0.0,0.524,0.25,0.95,exact_location_moderate_name
7610,35607,pempek pak raden fatmawati,Pempek Pak Raden Fatmawati,-6.29,106.795,seafood zonatri 68 fatmawati,SEAFOOD ZONATRI 68 FATMAWATI,-6.29,106.795,0.0,0.213,0.0,0.5,second_pass_relaxed
7026,3362, uduk nikmat 79,Nasi Uduk Nikmat 79,-6.192,106.785, uduk nikmat 79  ke2 berac,Nasi Uduk Nikmat 79 Cabang ke2 berAC,-6.192,106.785,0.0,0.761,0.6,0.95,exact_location_moderate_name
7022,24330, uduk cipete,Nasi Uduk Cipete - Cipete,-6.278,106.798,papo cipete,PAPO Cipete,-6.278,106.798,0.0,0.324,0.5,0.6,relaxed_wide_net
7021,39971, uduk bu gendut,Nasi Uduk Bu Gendut,-6.249,106.942, uduk bu gendut,Nasi uduk bu gendut,-6.249,106.942,0.0,1.0,1.0,0.95,exact_location_moderate_name
7020,60707, uduk babeh ali,Nasi Uduk Babeh Ali - Jelambar Aladin,-6.143,106.786, uduk babeh ali  jelambar aladin,Nasi Uduk Babeh Ali - Jelambar Aladin,-6.143,106.786,0.0,0.731,0.6,0.95,exact_location_moderate_name
7018,8537, uduk   goreng lahap,Nasi Uduk & Ayam Goreng Lahap,-6.175,106.783, uduk dan  goreng lahap,Nasi Uduk Dan Ayam Goreng Lahap,-6.175,106.783,0.0,0.568,0.75,0.95,exact_location_moderate_name
7014,48690, tempong nyo by gading marten,Nasi Tempong Nyo By Gading Marten,-6.088,106.732, tempong nyo by gading marten,Nasi Tempong Nyo by Gading Marten,-6.088,106.732,0.0,1.0,1.0,0.95,exact_location_moderate_name
6998,6002, peda lombok hijau,NASI PEDA LOMBOK HIJAU,-6.192,106.784, peda lombok hijau,Nasi Peda Lombok Hijau,-6.192,106.784,0.0,1.0,1.0,0.95,exact_location_moderate_name
7025,27862, uduk mpo zuko,Nasi Uduk Mpo Zuko,-6.346,106.805, uduk betawi mpo zuko,Nasi Uduk Betawi Mpo Zuko,-6.346,106.805,0.0,0.536,0.75,0.95,exact_location_moderate_name
7292,19821,ohayo rice ,OHAYO RICEBAR - STASIUN JUANDA,-6.166,106.83,ohayo ricebar  stasiun juanda,Ohayo Ricebar | Stasiun Juanda,-6.166,106.83,0.0,0.538,0.25,0.95,exact_location_moderate_name
7318,55408,ohlala ,Ohlala - Rsia Grand Family,-6.123,106.739,ohlala  family,OHLALA Grand Family,-6.123,106.739,0.0,0.689,0.5,0.95,exact_location_moderate_name
7328,10662,oldtown white ,OLDTOWN - MTA,-6.179,106.793,oldtown white  taman anggrek,OldTown White Coffee Taman Anggrek,-6.179,106.793,0.0,0.695,0.5,0.95,exact_location_moderate_name
7473,13402,pancake,The Pancake Co. Grand Indonesia,-6.195,106.82,baby dutch pancake  ,Baby Dutch Pancake Grand Indonesia,-6.195,106.82,0.0,0.601,0.333,0.95,exact_location_moderate_name
7463,47445,paiks noodle,PAIKS NOODLE EMPORIUM PLUIT,-6.127,106.791,paiks noodle  pluit  홍콩반점0410,Paiks Noodle Emporium Pluit Mall 홍콩반점0410,-6.127,106.791,0.0,0.685,0.5,0.95,exact_location_moderate_name
7441,20237,padang merdeka,Padang Merdeka - Tebet,-6.225,106.855,padang merdeka tebet,Padang Merdeka Tebet,-6.225,106.855,0.0,0.814,0.667,0.95,exact_location_moderate_name
7440,14667,padang merdeka,Padang Merdeka - Hayam Wuruk,-6.165,106.821,padang merdeka hayam wuruk,Padang Merdeka Hayam Wuruk,-6.165,106.821,0.0,0.71,0.5,0.95,exact_location_moderate_name
7438,20939,padang maharajo,Padang Maharajo - Jagakarsa,-6.339,106.822,maharajo jagakarsa,Maharajo Jagakarsa,-6.339,106.822,0.0,0.279,0.5,0.6,relaxed_wide_net
7405,20324,osteria gia,"Osteria GIA, Pondok Indah Mall 2",-6.267,106.783,osteria gia pondok indah  2,Osteria GIA Pondok Indah Mall 2,-6.267,106.783,0.0,0.638,0.4,0.95,exact_location_moderate_name
7404,14220,osteria gia,"Osteria GIA, Plaza Indonesia",-6.194,106.823,osteria gia  ,Osteria Gia Plaza Indonesia,-6.194,106.823,0.0,1.0,1.0,0.95,exact_location_moderate_name
7402,20129,osteria gia,"Osteria GIA, Pacific Place",-6.225,106.81,osteria gia  pacific place,Osteria Gia Mall Pacific Place,-6.225,106.81,0.0,0.683,0.5,0.95,exact_location_moderate_name
7400,37179,osio,OSIO,-6.166,106.927,osio 오시오,OSIO 오시오,-6.166,106.927,0.0,0.7,0.5,0.95,exact_location_moderate_name
7393,7614,orijicha,Orijicha Taman Palem Lestari,-6.138,106.723,orijicha,Orijicha,-6.138,106.723,0.0,1.0,1.0,0.95,exact_location_moderate_name
7359,49178,onde mande food  pik,"Onde Mande, Food Plaza PIK",-6.104,106.741,wowteg food  pik,WOWTEG FOOD PLAZA PIK,-6.104,106.741,0.0,0.354,0.5,0.6,relaxed_wide_net
7352,31138,omonyo,Omonyo,-6.293,106.814,omonyo  cibis park,Omonyo - Cibis Park,-6.293,106.814,0.0,0.59,0.333,0.95,exact_location_moderate_name
7351,58563,omnivore,Omnivore,-6.152,106.89,omnivore ,Omnivore Kelapa Gading,-6.152,106.89,0.0,1.0,1.0,0.95,exact_location_moderate_name
7337,48561,omari,Omari,-6.152,106.887,omari,Omari,-6.152,106.887,0.0,1.0,1.0,0.95,exact_location_moderate_name
7335,20052,omah sehela,Sehela Kopi Jakarta,-6.306,106.792,sehela ,Sehela Kopi,-6.306,106.792,0.0,0.712,0.5,0.95,exact_location_moderate_name
6985,1875, liwet neng anum,Nasi Liwet Neng Anum - Maja,-6.135,106.703, liwet neng anum  maja,Nasi Liwet Neng Anum - Maja,-6.135,106.703,0.0,0.857,0.75,0.95,exact_location_moderate_name
7507,25423,papo,PAPO 04 TM BINTARO,-6.272,106.758,papo taman bintaro,Papo Taman Bintaro,-6.272,106.758,0.0,0.542,0.333,0.95,exact_location_moderate_name
