"brandName","branchName","longitude","latitude","cityName"
,Drama Coffe Studio,106.83676202,-6.19755747,Jakarta Pusat
,"Gourmet Shop, Grand Indonesia",106.81888150,-6.19478470,Jakarta Pusat
,Nekad Papa,106.82231900,-6.20114440,Jakarta Pusat
	Ani-Mall Puri iSekai,Ani-Mall Puri iSekai,106.73890940,-6.18845540,Jakarta Barat
	Bebek Goreng Kriwil x bee ice cream,Bebek Goreng Kriwil x bee ice cream,106.78621609,-6.13829066,Jakarta Utara
	Don Rental PS,Don Rental PS - Arundina,106.88891610,-6.35227290,Jakarta Timur
	Grande Resto Cafe,THE GRAND PADEL,106.88444310,-6.17558260,Jakarta Timur
	Haru Cafe,Haru Cafe Lotte,106.82342010,-6.22368980,Jakarta Selatan
	Haru Cafe,Haru Cafe MOI,106.89137580,-6.14969090,Jakarta Utara
	MINUTE,MINUTE,106.81677700,-6.23645700,Jakarta Selatan
	Nasi Uduk Cipete 21,Nasi Uduk Cipete 21,106.79772910,-6.27751050,Jakarta Selatan
	Padel Haven Jakarta,Padel Haven,106.79356760,-6.26698810,Jakarta Selatan
	Ruuang and Ruuti,Ruuang & Ruuti,106.79877250,-6.24151900,Jakarta Selatan
	Second Floor Coffee,Second Floor Coffee GI - West,106.82171990,-6.19519840,Jakarta Pusat
	Shamrock,SHAMROCK,106.78329540,-6.23995830,Jakarta Selatan
	TimeOut Kitchen,TimeOut Kitchen,106.82654900,-6.12975150,Jakarta Utara
	UMAMIYA,UMAMIYA,106.76222750,-6.19952670,Jakarta Barat
	Zodiac Baresto,Zodiac Authenticity,106.84581630,-6.14634450,Jakarta Utara
	Zodiac Baresto,Zodiac Nixxperience,106.84581630,-6.14634450,Jakarta Utara
 Amelie's Homemade Food & Cakes,RSAW Amelie's Homemade Food & Cakes,106.77647910,-6.17057400,Jakarta Pusat
 Croffle.in,Croffle.in Tebet,106.86029444,-6.22843927,Jakarta Selatan
 Croffle.in,Croffle.in Tebet,106.86029444,-6.22843927,Jakarta Selatan
 Croffle.in,Croffle.in Wijaya,106.81360004,-6.24146986,Jakarta Selatan
 Croffle.in,Croffle.in Setiabudi Barat,106.82455229,-6.20710053,Jakarta Selatan
 Croffle.in,Croffle.in Raden Saleh,106.84483028,-6.18994701,Jakarta Pusat
 Croffle.in,Croffle.in Benhil,106.81176254,-6.20859901,Jakarta Pusat
 Croffle.in,Croffle.in Ophir,106.78712829,-6.23592813,Jakarta Selatan
 Croffle.in,Croffle.in Kemanggisan,106.78216300,-6.19674000,Jakarta Barat
 DAPUR AB-3,Dapur AB-3,106.88669687,-6.22273441,Jakarta Timur
 Delapan Lima 85,Delapan Lima 85,106.81692591,-6.19763000,Jakarta Pusat
 DoubleShot,DOUBLESHOT - GREEN TERACE,106.88671772,-6.30225933,Jakarta Timur
 DoubleShot,DOUBLESHOT - WTC,0.00000000,0.00000000,Jakarta Utara
 Kopi Wolu,House Of Asel,106.79776687,-6.27703342,Jakarta Selatan
 Nasi Uduk Ci Rina,NASI UDUK CI RINA,106.82986684,-6.14789968,Jakarta Pusat
 OG Coffee,OG Coffee Senopati,106.80695269,-6.22830783,Jakarta Selatan
 OG Coffee,OG Coffee Kemang,0.00000000,0.00000000,Jakarta Selatan
 Oligarki,Oligarki,106.79829895,-6.25476433,Jakarta Selatan
 Pempek Kaisar,Pempek Kaisar Cibubur,106.83273506,-6.22695323,Jakarta Selatan
 Pide Turkish Pizza,Istanbul Kebab & Pide Turkish Pizza Meruya,106.73669690,-6.19768250,Jakarta Barat
 Pide Turkish Pizza,Istanbul Kebab & Pide Turkish Pizza Kalibaru,106.92697630,-6.10172390,Jakarta Utara
 Pide Turkish Pizza,LMI X PIDE X Kebab Pisangan Baru,,,Jakarta Timur
 Pide Turkish Pizza,Pide Turkish Pizza Condet,106.85973000,-6.26779490,Jakarta Timur
 Pide Turkish Pizza,Istanbul Kebab & Pide Turkish Pizza Cidodol,106.77214700,-6.22884800,Jakarta Selatan
 Pide Turkish Pizza,Istanbul Kebab & Pide Turkish Pizza Kembangan,106.73439370,-6.21084150,Jakarta Barat
 Pide Turkish Pizza,Istanbul Kebab x Lidah Mertua Pondok ranggon,106.91104740,-6.35473610,Jakarta Timur
 Pide Turkish Pizza,Istanbul Kebab & Pide Turkish Pizza Malaka Raya,106.93146580,-6.22562960,Jakarta Timur
 Pide Turkish Pizza,Kebab Abi x Pide Turkish Pizza Cilincing,106.77247750,-6.30891040,Jakarta Utara
 Pide Turkish Pizza,Istanbul Kebab & Pide Turkish Pizza Koja,106.90779190,-6.11815870,Jakarta Utara
 Pide Turkish Pizza,Istanbul Kebab Turki Serdang,106.86401890,-6.15798900,Jakarta Pusat
 Pide Turkish Pizza,Kebab Abi & Pide & Lidah Mertua Grogol,106.79407920,-6.16294760,Jakarta Barat
 Pide Turkish Pizza,Nasi Goreng LMI x Istanbul Kebab Turki Kp.Makassar,106.87502140,-6.27473710,Jakarta Timur
 Pide Turkish Pizza,LMI X PIDE X Kebab Kapuk Cengkareng,106.73809770,-6.12772820,Jakarta Barat
 Pide Turkish Pizza,LMI X PIDE X Kebab Kelapa Dua,106.83546260,-6.35463960,Jakarta Selatan
 PLAY! Court at Vasaka Solterra,PLAY! Court at Vasaka Solterra,106.83159090,-6.27668500,Jakarta Selatan
 Roemah Koffie,Roemah Koffie - Gunawarman,,,Jakarta Selatan
 SKIRTS GRILL&BAR,SKIRTS Grill & Bar,106.80955954,-6.23909212,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 8,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Island Teguk 07 Erafone Binus,106.78280670,-6.20235000,Jakarta Barat
 Teguk Indonesia,Island 17 SUPERINDO MUARA KARANG,106.78341730,-6.11733570,Jakarta Utara
 Teguk Indonesia,Island 24 SUPERINDO MALL BASURA,106.87771530,-6.22438910,Jakarta Timur
 Teguk Indonesia,Island 27 Boci Cempaka Putih,106.86186990,-6.18197120,Jakarta Pusat
 Teguk Indonesia,Teguk Cipinang Muara,106.89178000,-6.22249000,Jakarta Timur
 Teguk Indonesia,Teguk Condet Midi,106.85533662,-6.28358446,Jakarta Timur
 Teguk Indonesia,Teguk Raya Tengah 3,106.86011629,-6.29104055,Jakarta Timur
 Teguk Indonesia,Teguk Gerai Batu Ampar,106.86005307,-6.29104851,Jakarta Timur
 Teguk Indonesia,Teguk Klender,106.93223854,-6.22342204,Jakarta Timur
 Teguk Indonesia,Teguk Penggilingan,106.93586764,-6.20833302,Jakarta Timur
 Teguk Indonesia,Teguk Pulo Gebang,106.95557257,-6.20071087,Jakarta Timur
 Teguk Indonesia,Teguk Tanah Merdeka 2,106.88619172,-6.19284623,Jakarta Timur
 Teguk Indonesia,Teguk Rawa Mangun,106.88619708,-6.19282224,Jakarta Timur
 Teguk Indonesia,Hawker Jaksel 10,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 11,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 12,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 13,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 14,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 15,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 16,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 17,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 1,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 2,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 3,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 4,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 5,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 7,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Hawker Jaksel 9,106.82566450,-6.33606010,Jakarta Selatan
 Teguk Indonesia,Teguk Kp Makssar,106.87667529,-6.27607155,Jakarta Timur
 Teguk Indonesia,Teguk Asem Baris,106.86038753,-6.23889620,Jakarta Selatan
 Teguk Indonesia,Teguk Peta Barat,106.69048488,-6.13284225,Jakarta Barat
 Teguk Indonesia,Teguk Meruya,106.74091211,-6.19877923,Jakarta Barat
 Teguk Indonesia,Teguk Sumur Batu,106.86507601,-6.16358387,Jakarta Pusat
 Teguk Indonesia,Teguk Utan Kayu,106.86930118,-6.19507303,Jakarta Timur
