Nama Restoran,Pricing,latitude,longitude
Satu Meja,,-6.1702274,106.7829131
Pesisir Seafood,$$$,-6.1974202,106.757001
Taeyang Sung Neo Soho,,-6.1750434,106.7902625
Asoka Restaurant Aston Kartika,,-6.1671739,106.7921187
Dandang Gulo Restaurant,,-6.1853998,106.7988316
Noya Thai Grill and Hotpot - Central Park,"Rp 250,000+",-6.1785035,106.790649
Pigcasso Puri Kembangan,,-6.1841158,106.7531828
Monsieur Spoon Mall Taman Anggrek,$$,-6.1786549,106.7928132
Antarasa Central Park,,-6.1772515,106.7904697
SURA Stylish BBQ Bar Lippo Mall Puri,,-6.1879427,106.7390754
Kwetiaw Kerang Singapore Pesanggrahan,,-6.188346,106.756156
Bornga Neo Soho,,-6.1749043,106.7898987
Bomber Burger,,-6.1660406,106.7926709
Kemangi,,-6.1849968,106.7526028
Padang Nusantara Vegetarian,,-6.1703797,106.7852939
Kappa Sushi Lippo Mall Puri,"Rp 250,000+",-6.187725,106.7396038
Raa Cha Suki Lippo Mall Puri,$$,-6.1896806,106.7389777
Truffle Belly Green Garden,,-6.1653738,106.7627563
ESSEL GO,,-6.1730713,106.7660896
"Katsukita, Central Park",,-6.176095,106.7915949
Kyoyu,,-6.1906028,106.7646015
Mlinjo Cafe and Resto Tomang,$$,-6.1778143,106.8005774
Collage All Day Dining,,-6.1780743,106.7894982
Angke Restaurant - Kedoya,,-6.1859371,106.7687766
"Waroeng Sunda Restaurant Jakarta, Kebon Jeruk",$$,-6.1879536,106.768923
Pingoo Neo Soho,,-6.174695,106.7899334
Tori.co Restaurant,,-6.1683657,106.7868223
Baku Sayang Restaurant,$$,-6.1948085,106.7555623
"Smara kitchen and coffee, Puri Indah Mall",,-6.1886,106.734628
ONNI House Jakarta,$$,-6.1731723,106.7813316
MANJA Cafe & Resto,,-6.2083438,106.769376
Rose Garden International Restaurant,$$,-6.2001677,106.8000604
Puas Signature ( Coffee & Eatery ),,-6.1976972,106.7654111
Tako Suki,$$,-6.1926461,106.7553188
Chuan Xiang Pavilion Restaurant,,-6.1770441,106.7900218
Harmony Restaurant,,-6.198043,106.8020064
Sushi Hiro Mall Taman Anggrek,,-6.1785488,106.7922087
MAISON TATSUYA Central Park,$$$,-6.1765186,106.7915759
Platinum Resto & Cafe - Puri Indah Mall,$$,-6.1884417,106.7339684
Green Day Restaurant,,-6.171468,106.779256
PUTIEN Neo Soho,,-6.1752336,106.7902831
Haohao Dimsum & Chinese Food,$$,-6.1711899,106.7461672
Fajar Restaurant,,-6.1871647,106.7556957
Lao Lao Huo Guo - Pesanggrahan,,-6.1871134,106.7550652
海底捞火锅 Haidilao Hot Pot @Mall Taman Anggrek,,-6.1776566,106.7929097
